beta,feasible_share,all_core_feasible,mean_slack,run_id
0.2,0.825,0,8.811122794755969,9
0.25,0.85,0,10.642574821593225,9
0.3,0.875,0,12.47402684843048,9
0.35,0.9,0,14.305478875267735,9
0.4,0.925,0,16.13693090210499,9
0.45,0.925,0,17.968382928942248,9
0.5,0.925,0,19.799834955779502,9
0.55,0.975,0,21.631286982616764,9
0.6,0.975,0,23.462739009454015,9
0.65,0.975,0,25.29419103629127,9
0.7,0.975,0,27.12564306312853,9
0.75,0.975,0,28.957095089965783,9
0.8,0.975,0,30.788547116803034,9
0.85,0.975,0,32.6199991436403,9
0.9,0.975,0,34.45145117047755,9
0.95,0.975,0,36.28290319731481,9
1.0,0.975,0,38.11435522415206,9
0.0,0.675,0,-1.1045037679455978,10
0.05,0.75,0,0.7241105261898003,10
0.1,0.775,0,2.552724820325199,10
0.15,0.8,0,4.381339114460596,10
0.2,0.825,0,6.209953408595996,10
0.25,0.85,0,8.038567702731392,10
0.3,0.875,0,9.86718199686679,10
0.35,0.875,0,11.695796291002187,10
0.4,0.875,0,13.524410585137588,10
0.45,0.875,0,15.353024879272983,10
0.5,0.875,0,17.18163917340838,10
0.55,0.875,0,19.010253467543784,10
0.6,0.9,0,20.838867761679175,10
0.65,0.925,0,22.667482055814578,10
0.7,0.925,0,24.496096349949973,10
0.75,0.925,0,26.32471064408538,10
0.8,0.925,0,28.153324938220777,10
0.85,0.925,0,29.981939232356172,10
0.9,0.95,0,31.81055352649157,10
0.95,0.95,0,33.63916782062696,10
1.0,0.95,0,35.46778211476236,10
0.0,0.675,0,1.0548465530957853,11
0.05,0.825,0,2.7285422897886424,11
0.1,0.825,0,4.402238026481501,11
0.15,0.825,0,6.075933763174358,11
0.2,0.875,0,7.749629499867216,11
0.25,0.875,0,9.423325236560073,11
0.3,0.925,0,11.097020973252931,11
0.35,0.95,0,12.770716709945784,11
0.4,0.95,0,14.444412446638648,11
0.45,0.95,0,16.118108183331508,11
0.5,0.95,0,17.79180392002436,11
0.55,0.95,0,19.46549965671722,11
0.6,0.975,0,21.13919539341008,11
0.65,0.975,0,22.812891130102933,11
0.7,0.975,0,24.486586866795786,11
0.75,0.975,0,26.16028260348865,11
0.8,0.975,0,27.833978340181506,11
0.85,0.975,0,29.507674076874366,11
0.9,0.975,0,31.181369813567233,11
0.95,0.975,0,32.85506555026008,11
1.0,0.975,0,34.52876128695294,11
0.0,0.625,0,-0.8410079288929175,12
0.05,0.725,0,1.0289818425193507,12
0.1,0.725,0,2.89897161393162,12
0.15,0.775,0,4.7689613853438875,12
0.2,0.825,0,6.638951156756157,12
0.25,0.85,0,8.508940928168425,12
0.3,0.85,0,10.378930699580692,12
0.35,0.875,0,12.24892047099296,12
0.4,0.9,0,14.11891024240523,12
0.45,0.9,0,15.9889000138175,12
0.5,0.9,0,17.858889785229767,12
0.55,0.95,0,19.72887955664204,12
0.6,0.95,0,21.598869328054306,12
0.65,0.95,0,23.468859099466577,12
0.7,0.975,0,25.33884887087884,12
0.75,1.0,1,27.208838642291106,12
0.8,1.0,1,29.078828413703377,12
0.85,1.0,1,30.94881818511565,12
0.9,1.0,1,32.81880795652792,12
0.95,1.0,1,34.688797727940184,12
1.0,1.0,1,36.558787499352455,12
0.0,0.625,0,-1.669787052900914,13
0.05,0.725,0,-0.08054039950614485,13
0.1,0.725,0,1.5087062538886262,13
0.15,0.775,0,3.0979529072833962,13
0.2,0.775,0,4.687199560678167,13
0.25,0.775,0,6.276446214072936,13
0.3,0.8,0,7.865692867467708,13
0.35,0.8,0,9.454939520862478,13
0.4,0.825,0,11.044186174257245,13
0.45,0.85,0,12.63343282765202,13
0.5,0.875,0,14.222679481046786,13
0.55,0.875,0,15.811926134441558,13
0.6,0.9,0,17.401172787836327,13
0.65,0.9,0,18.990419441231097,13
0.7,0.9,0,20.579666094625868,13
0.75,0.9,0,22.16891274802064,13
0.8,0.9,0,23.758159401415405,13
0.85,0.9,0,25.347406054810182,13
0.9,0.9,0,26.936652708204953,13
0.95,0.925,0,28.525899361599716,13
1.0,0.925,0,30.115146014994487,13
0.0,0.65,0,-0.86310542085834,14
0.05,0.8,0,1.1057922592945464,14
0.1,0.825,0,3.074689939447434,14
0.15,0.85,0,5.043587619600321,14
0.2,0.85,0,7.012485299753206,14
0.25,0.85,0,8.981382979906096,14
0.3,0.85,0,10.950280660058981,14
0.35,0.9,0,12.919178340211868,14
0.4,0.9,0,14.888076020364753,14
0.45,0.925,0,16.856973700517642,14
0.5,0.925,0,18.825871380670527,14
0.55,0.925,0,20.794769060823416,14
0.6,0.925,0,22.7636667409763,14
