t,W,run_id,source,mechanism,beta_rhood
0,1115.9313068244933,0,theory_rhood,rhood,0.05
1,652.7774630187723,0,theory_rhood,rhood,0.05
2,652.7774630187723,0,theory_rhood,rhood,0.05
3,652.7774630187723,0,theory_rhood,rhood,0.05
4,652.7774630187723,0,theory_rhood,rhood,0.05
5,652.7774630187723,0,theory_rhood,rhood,0.05
6,652.7774630187723,0,theory_rhood,rhood,0.05
7,652.7774630187723,0,theory_rhood,rhood,0.05
8,652.7774630187723,0,theory_rhood,rhood,0.05
9,652.7774630187723,0,theory_rhood,rhood,0.05
10,652.7774630187723,0,theory_rhood,rhood,0.05
11,652.7774630187723,0,theory_rhood,rhood,0.05
12,652.7774630187723,0,theory_rhood,rhood,0.05
13,652.7774630187723,0,theory_rhood,rhood,0.05
14,652.7774630187723,0,theory_rhood,rhood,0.05
15,652.7774630187723,0,theory_rhood,rhood,0.05
16,652.7774630187723,0,theory_rhood,rhood,0.05
17,652.7774630187723,0,theory_rhood,rhood,0.05
18,652.7774630187723,0,theory_rhood,rhood,0.05
19,652.7774630187723,0,theory_rhood,rhood,0.05
20,652.7774630187723,0,theory_rhood,rhood,0.05
21,652.7774630187723,0,theory_rhood,rhood,0.05
22,652.7774630187723,0,theory_rhood,rhood,0.05
23,652.7774630187723,0,theory_rhood,rhood,0.05
24,652.7774630187723,0,theory_rhood,rhood,0.05
25,652.7774630187723,0,theory_rhood,rhood,0.05
26,652.7774630187723,0,theory_rhood,rhood,0.05
27,652.7774630187723,0,theory_rhood,rhood,0.05
28,652.7774630187723,0,theory_rhood,rhood,0.05
29,652.7774630187723,0,theory_rhood,rhood,0.05
30,652.7774630187723,0,theory_rhood,rhood,0.05
31,652.7774630187723,0,theory_rhood,rhood,0.05
32,652.7774630187723,0,theory_rhood,rhood,0.05
33,652.7774630187723,0,theory_rhood,rhood,0.05
34,652.7774630187723,0,theory_rhood,rhood,0.05
35,652.7774630187723,0,theory_rhood,rhood,0.05
36,652.7774630187723,0,theory_rhood,rhood,0.05
37,652.7774630187723,0,theory_rhood,rhood,0.05
38,652.7774630187723,0,theory_rhood,rhood,0.05
39,652.7774630187723,0,theory_rhood,rhood,0.05
40,652.7774630187723,0,theory_rhood,rhood,0.05
41,652.7774630187723,0,theory_rhood,rhood,0.05
42,652.7774630187723,0,theory_rhood,rhood,0.05
43,652.7774630187723,0,theory_rhood,rhood,0.05
44,652.7774630187723,0,theory_rhood,rhood,0.05
45,652.7774630187723,0,theory_rhood,rhood,0.05
46,652.7774630187723,0,theory_rhood,rhood,0.05
47,652.7774630187723,0,theory_rhood,rhood,0.05
48,652.7774630187723,0,theory_rhood,rhood,0.05
49,652.7774630187723,0,theory_rhood,rhood,0.05
50,652.7774630187723,0,theory_rhood,rhood,0.05
51,652.7774630187723,0,theory_rhood,rhood,0.05
52,652.7774630187723,0,theory_rhood,rhood,0.05
53,652.7774630187723,0,theory_rhood,rhood,0.05
