W,t,mechanism_label
1095.0614448769606,89,ST
1095.0614448769606,90,ST
1095.0614448769606,91,ST
1095.0614448769606,92,ST
1095.0614448769606,93,ST
1095.0614448769606,94,ST
1095.0614448769606,95,ST
1095.0614448769606,96,ST
1095.0614448769606,97,ST
1095.0614448769606,98,ST
1095.0614448769606,99,ST
1095.0614448769606,100,ST
1095.0614448769606,101,ST
1095.0614448769606,102,ST
1095.0614448769606,103,ST
1095.0614448769606,104,ST
1095.0614448769606,105,ST
1095.0614448769606,106,ST
1095.0614448769606,107,ST
1095.0614448769606,108,ST
1095.0614448769606,109,ST
1095.0614448769606,110,ST
1095.0614448769606,111,ST
1095.0614448769606,112,ST
1095.0614448769606,113,ST
1095.0614448769606,114,ST
1095.0614448769606,115,ST
1095.0614448769606,116,ST
1095.0614448769606,117,ST
1095.0614448769606,118,ST
1095.0614448769606,119,ST
1095.0614448769606,120,ST
