t,share_N,share_E,share_F,W,C_ext,run_id,regime
9,0.01,0.68,0.31,1279.5912369883958,28.988524919343444,20,safety_only
10,0.01,0.66,0.33,1326.3833648178652,30.703974748646736,20,safety_only
11,0.01,0.66,0.33,1326.3833648178652,30.703974748646736,20,safety_only
12,0.01,0.66,0.33,1326.3833648178652,30.703974748646736,20,safety_only
13,0.01,0.66,0.33,1326.3833648178652,30.703974748646736,20,safety_only
14,0.01,0.66,0.33,1326.3833648178652,30.703974748646736,20,safety_only
0,0.0,0.94,0.06,1026.9269919872218,6.523110869445183,21,primitive_baseline
1,0.005,0.925,0.07,1023.9096980180173,7.119030046786772,21,primitive_baseline
2,0.015,0.915,0.07,1015.5178261527195,7.119030046786772,21,primitive_baseline
3,0.015,0.885,0.1,1043.209494784757,8.68315464182196,21,primitive_baseline
4,0.015,0.87,0.115,1073.696651391966,10.239504328791131,21,primitive_baseline
5,0.025,0.825,0.15,1114.9796903049564,13.73255419141841,21,primitive_baseline
6,0.025,0.775,0.2,1223.8116745901618,18.558918965587832,21,primitive_baseline
7,0.025,0.73,0.245,1359.5047302360845,24.145403738138178,21,primitive_baseline
8,0.025,0.69,0.285,1463.0533358153846,28.122996932502577,21,primitive_baseline
