t,share_N,share_E,share_F,W,C_ext,run_id,fee_multiple
25,0.0,0.64,0.36,1523.392040328042,29.893997730639022,25,2.0
26,0.0,0.615,0.385,1567.6961653555588,31.49779584380917,25,2.0
27,0.0,0.64,0.36,1542.045680490592,30.576090912590487,25,2.0
28,0.0,0.645,0.355,1532.3518213817717,30.222164680254664,25,2.0
29,0.0,0.66,0.34,1509.878331266334,29.396696353600596,25,2.0
30,0.0,0.625,0.375,1604.6592579003104,32.815867326385046,25,2.0
31,0.0,0.64,0.36,1574.5936726475309,31.74807695984267,25,2.0
32,0.0,0.645,0.355,1560.6307780529946,31.246549385259144,25,2.0
33,0.0,0.66,0.34,1525.157691886252,29.95971223384333,25,2.0
34,0.0,0.675,0.325,1496.279807184838,28.896971838570174,25,2.0
35,0.0,0.655,0.345,1567.8803588070216,31.514483826889165,25,2.0
36,0.0,0.67,0.33,1552.7829745196038,30.972441936501728,25,2.0
37,0.0,0.69,0.31,1495.1801360675845,28.86384455471274,25,2.0
38,0.0,0.655,0.345,1574.378846800132,31.74792783113013,25,2.0
39,0.0,0.675,0.325,1515.2145619616783,29.607923064437145,25,2.0
40,0.0,0.69,0.31,1458.4542773336382,27.49161402286265,25,2.0
41,0.0,0.655,0.345,1527.9501387246605,30.072526132894673,25,2.0
42,0.0,0.665,0.335,1514.285293223214,29.57291732131485,25,2.0
43,0.0,0.625,0.375,1592.0411303511664,32.37548901781696,25,2.0
44,0.0,0.66,0.34,1512.030305983463,29.48537253390683,25,2.0
45,0.0,0.625,0.375,1588.7172009437008,32.25252598603352,25,2.0
46,0.0,0.64,0.36,1566.3381035234265,31.452199474121237,25,2.0
47,0.0,0.66,0.34,1495.4411484745758,28.859029241075778,25,2.0
48,0.0,0.665,0.335,1482.527732754046,28.378255834418468,25,2.0
49,0.0,0.63,0.37,1568.9652900393583,31.53665872545203,25,2.0
50,0.0,0.66,0.34,1488.9165406045122,28.612314858179353,25,2.0
